,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24776,6.8,1.16E-01,-1.22E+00,-1.27E+00,-1.72E+00,-6.15E-02,5.38E-02,-2.01E-01,1.17E-01
24777,8.4,2.80E-01,-1.30E+00,-1.35E+00,-1.75E+00,-4.72E-02,4.70E-02,-1.62E-01,8.35E-02
24778,8.3,2.02E-01,-1.26E+00,-1.23E+00,-1.76E+00,-5.39E-02,4.77E-02,-1.63E-01,1.66E-01
24779,9.4,1.72E-01,-1.03E+00,1.79E-01,-2.16E+00,-1.19E-01,6.21E-02,-2.00E-01,1.14E+00
24780,9.6,9.84E-02,-9.94E-01,1.53E-01,-2.12E+00,-1.20E-01,6.05E-02,-1.95E-01,1.14E+00
24781,11,-3.30E-02,-9.09E-01,1.70E-01,-2.13E+00,-1.26E-01,5.84E-02,-1.92E-01,1.16E+00
24782,11.8,-3.42E-02,-7.19E-01,1.31E-01,-2.14E+00,-1.28E-01,5.78E-02,-1.92E-01,1.18E+00
24783,12.9,-1.21E-01,-5.63E-01,1.24E-01,-2.16E+00,-1.37E-01,5.74E-02,-1.93E-01,1.24E+00
24784,12.6,-1.15E-01,-1.03E+00,1.57E+00,-2.68E+00,-1.03E-01,9.53E-02,-2.66E-01,2.38E-01
24785,11.7,-1.29E-01,-1.05E+00,1.56E+00,-2.68E+00,-9.76E-02,9.66E-02,-2.68E-01,1.94E-01
24786,11.1,-1.14E-01,-1.15E+00,1.54E+00,-2.65E+00,-9.82E-02,9.69E-02,-2.67E-01,2.03E-01
24787,10.9,-1.41E-01,-9.52E-01,-4.21E-01,-2.00E+00,-7.43E-02,6.01E-02,-1.89E-01,1.86E-01
